"","id","risq","NBCAV","SEXE","DATE_EER","AGE","tranche_age","PNB"
"32001",32350804,0,0.5,"F",1994-12-01,58,"55-59 ans",94.1170411112609
"32002",32350806,1,1,"F",1997-07-01,34,"30-34 ans",770.480529415909
"32003",32350808,1,1,"F",1996-05-01,20,"18-22 ans",174.211055462261
"32004",32350810,NA,NA,"M",1989-05-01,55,"55-59 ans",161.33965835032
"32005",32350811,0,0,"M",1998-09-18,54,"50-54 ans",18.48201238096
"32006",32350812,1,1,"F",1998-09-18,59,"55-59 ans",143.980075088979
"32007",32350813,NA,0.458333333333333,"M",1967-10-01,84,"80 ans et +",355.285851954495
"32008",32350814,1,1,"F",1972-11-01,65,"65-69 ans",90.1380755199496
"32009",32350816,1,0.5,"F",1983-05-01,59,"55-59 ans",142.240660718756
"32010",32350817,0,0.2,"M",1987-01-01,86,"80 ans et +",67.9307730189583
"32011",32350819,1,1,"M",1991-07-01,79,"75-79 ans",2061.10099078484
"32012",32350821,1,0.5,"F",1989-03-20,42,"40-44 ans",404.119785564919
"32013",32350822,1,1,"M",1987-05-01,70,"70-74 ans",1595.79391176146
"32014",32350828,1,0.5,"M",1975-12-01,55,"55-59 ans",64.3547013347416
"32015",32350831,1,0.5,"M",1975-01-01,80,"80 ans et +",3754.99088540106
"32016",32350832,1,1,"F",1998-09-18,45,"45-49 ans",887.213839202602
"32017",32350833,1,1,"M",1991-11-01,66,"65-69 ans",325.515295647067
"32018",32350836,1,1,"F",1998-09-17,31,"30-34 ans",647.057824547255
"32019",32350837,1,1,"F",1993-10-01,81,"80 ans et +",366.298650510723
"32020",32350838,0,NA,"M",1985-05-01,44,"40-44 ans",1.52103849561558
"32021",32350839,1,1,"M",1971-01-01,72,"70-74 ans",546.124541533389
"32022",32350841,1,1,"F",1987-03-01,68,"65-69 ans",128.231118073971
"32023",32350843,1,0.5,"F",1971-09-01,71,"70-74 ans",284.096917852072
"32024",32350845,1,1.5,"F",1979-12-01,73,"70-74 ans",891.647623946285
"32025",32350851,1,1,"F",1971-06-01,64,"60-64 ans",197.54266178878
"32026",32350853,0,0.5,"F",1993-10-01,58,"55-59 ans",572.134466970303
"32027",32350854,1,1,"M",1989-03-01,73,"70-74 ans",891.125501065255
"32028",32350857,0,NA,"F",1994-04-01,48,"45-49 ans",5.13551834353961
"32029",32350858,0,1,"F",1995-01-01,39,"35-39 ans",422.975651051433
"32030",32350863,1,0.5,"F",1989-12-01,38,"35-39 ans",269.745222236988
"32031",32350864,1,1,"F",1989-04-03,52,"50-54 ans",273.259991432601
"32032",32350867,0,NA,"M",1994-11-01,54,"50-54 ans",79.4805803651771
"32033",32350868,NA,0.583333333333333,"F",1946-01-01,89,"80 ans et +",144.697846736755
"32034",32350869,1,1,"F",1985-09-01,45,"45-49 ans",192.033741774659
"32035",32350870,1,0.5,"F",1977-09-01,65,"65-69 ans",285.35906751976
